Name,Country_Code,5yr-avg_gdp_pc,5yr-avg_pop,5yr-avg_vuln,5yr-avg_rdness,CO2_emissions_per_capita,Region,Income Group,CO2_emi,5yr-avg_gdp
San Marino,SMR,58204.65671,33618.4,,0.62693166,,Europe & Central Asia,High income,,1567169625
Sao Tome and Principe,STP,3983.157553,207166.4,0.516046301,0.361056351,0.474909808,Sub-Saharan Africa,Lower middle income,78.62068966,406740612.1
Saudi Arabia,SAU,47840.49459,33045572.2,0.390120696,0.501587033,13.6313395,Middle East & North Africa,High income,338159.3103,7.22626E+11
Senegal,SEN,3238.362898,15428418.4,0.53122665,0.337002057,0.468633371,Sub-Saharan Africa,Lower middle income,5501.034483,22220805142
Serbia,SRB,17048.27782,7020428.4,0.41722743,0.435420764,6.601202857,Europe & Central Asia,Upper middle income,48884.82759,48072317536
Seychelles,SYC,27237.32261,95665.2,0.433691934,0.456121282,5.476598542,Sub-Saharan Africa,High income,463.1034483,1429062395
Sierra Leone,SLE,1664.808163,7490510.4,0.563821237,0.312503372,0.10037468,Sub-Saharan Africa,Low income,584.137931,3923829285
Singapore,SGP,94615.37924,5619356.6,0.380323239,0.804409115,9.295586095,East Asia & Pacific,High income,40133.44828,3.50494E+11
Slovakia,SVK,31167.54462,5438935,0.340856095,0.508284299,7.139327988,Europe & Central Asia,High income,38376.89655,1.00228E+11
Slovenia,SVN,36952.29173,2071360.2,0.295665295,0.616348916,7.351882168,Europe & Central Asia,High income,14826.55172,51057580343
Solomon Islands,SLB,2642.272108,636254.8,0.574398521,0.41176006,0.593770385,East Asia & Pacific,Lower middle income,278.6206897,1510578173
Somalia,SOM,,14604598.4,0.677893613,0.387015858,0.062136068,Sub-Saharan Africa,Low income,610.3448276,6086302138
South Africa,ZAF,12764.16913,56985672.8,0.406387285,0.373160563,7.306212176,Sub-Saharan Africa,Upper middle income,349933.4483,3.66651E+11
Spain,ESP,39469.13778,46679333,0.288031442,0.542652715,6.340182705,Europe & Central Asia,High income,272743.1034,1.3282E+12
Sri Lanka,LKA,12640.12654,21418000,0.46903446,0.391008199,0.612274214,South Asia,Lower middle income,12162.41379,84491967610
Sudan,SDN,4441.515514,40835711.4,0.613850873,0.263705759,0.320306588,Sub-Saharan Africa,Low income,10423.7931,32472650502
Suriname,SUR,16189.46977,570374,0.380809588,0.332086232,3.862736776,Latin America & Caribbean,Upper middle income,1894.482759,3554808445
Swaziland,SWZ,8731.643201,1125420.4,0.512246601,0.316731305,1.029746113,Sub-Saharan Africa,Lower middle income,1039.655172,4270563988
Sweden,SWE,52704.54612,10048127.2,0.28528549,0.741127102,5.487893882,Europe & Central Asia,High income,49825.51724,5.37446E+11
Switzerland,CHE,67962.60083,8439347,0.249230018,0.709217916,5.795117431,Europe & Central Asia,High income,43193.10345,7.23927E+11
Syrian Arab Republic,SYR,,17299152.2,0.461067189,0.240846593,2.36327045,Middle East & North Africa,Low income,40723.10345,18184547325
Tajikistan,TJK,3204.243283,8883946,0.390732852,0.314652045,0.59886921,Europe & Central Asia,Lower middle income,3952.758621,7757756649
"Tanzania, United Republic of",TZA,2555.983132,54704228,0.5229393,0.303216367,0.133618834,Sub-Saharan Africa,Lower middle income,5639.310345,56728988675
Thailand,THA,17533.13446,69189961.2,0.419415788,0.460792211,3.018867335,East Asia & Pacific,Upper middle income,196078.9655,4.84448E+11
Timor-Leste,TLS,3204.919458,1243988.4,0.50013662,0.393534916,0.179501373,East Asia & Pacific,Lower middle income,203.7931034,1760038580
Togo,TGO,1525.11871,7700609,0.505771246,0.311316192,0.277984844,Sub-Saharan Africa,Low income,1584.827586,6866867539
